Page ID,Page Name,Disclaimer,Amount Spent (SGD),Number of Ads in Library
109555293685,Gov.sg,Gov.sg,700,10
160823460655497,Lianhe Zaobao 联合早报,Lianhe Zaobao 联合早报,158,2
55406192028,Young NTUC,Young NTUC,103,16
259077840923556,AOX Singapore,AOX Singapore,≤100,9
626687907492630,Millennials of Singapore,Millennials of Singapore,≤100,1
121790674546188,AsiaOne,AsiaOne,≤100,12
1468082613467781,Nee Soon Town Council,Nee Soon Town Council,≤100,4
701800260260398,The Forage Cafe,"Chua Sock Tian, Josephine (Cai Shuzhen, Josephine)",≤100,4
113017006084973,EDUdebt MobileTeam,Edudebt,≤100,1
180972142391567,Marcus & Cecilia Luah,Luah Chuan Teck (Lai Quande),≤100,2
492779724105442,Calvin Cheng,Calvin Cheng,≤100,2
8002590959,Rainforest Action Network,These ads ran without a disclaimer,≤100,4
36541001838,Tan Suee Chieh,Tan Suee Chieh,≤100,1
202216409941537,Cyclexafe,Seah Kim Hong (She Jinfeng),≤100,1
267926623635962,New Naratif,New Naratif,≤100,1
107720000870833,Discounted SG New Launches,These ads ran without a disclaimer,≤100,1
109320757394952,Newsgowhere SG,Newsgowhere,≤100,2
184992754910572,Epworth Community Services,"Fung Shi Ern, Shalom",≤100,1
771947142920359,IReader,These ads ran without a disclaimer,≤100,5
767952000001198,Синхронизация,These ads ran without a disclaimer,≤100,4
287886244963328,Rakuten Today,These ads ran without a disclaimer,≤100,1